date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:06:53	7616/7616	---M--	200	added ('OK')	text/html	etag:%223c84ab80a96dd01:444%22	http://www.bridgemin.org/about/newsletters.html	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/about/newsletters.html	(from http://www.bridgemin.org/)
13:07:03	7857/7857	---M--	200	added ('OK')	text/html	etag:%2241433f363e75cf1:444%22	http://www.bridgemin.org/about/history.html	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/about/history.html	(from http://www.bridgemin.org/)
13:07:03	7334/7334	---M--	200	added ('OK')	text/html	etag:%22a9302f783e75cf1:444%22	http://www.bridgemin.org/about/testimonials.html	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/about/testimonials.html	(from http://www.bridgemin.org/)
13:07:13	7068/7068	---M--	200	added ('OK')	text/html	etag:%22211c3a7c1a53d01:444%22	http://www.bridgemin.org/mobility/donate_equip.html	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/mobility/donate_equip.html	(from http://www.bridgemin.org/)
13:07:13	6056/6056	---M--	200	added ('OK')	text/html	etag:%223127818f3e75cf1:444%22	http://www.bridgemin.org/donate/index.html	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/donate/index.html	(from http://www.bridgemin.org/)
13:07:23	7681/7681	---M--	200	added ('OK')	image/gif	etag:%229f2be2e2a9e1ca1:444%22	http://www.bridgemin.org/images/cause-statement-6.gif	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/images/cause-statement-6.gif	(from http://www.bridgemin.org/)
13:07:24	2575/2575	---M--	200	added ('OK')	image/jpeg	etag:%225ffc68201c7acb1:444%22	http://www.bridgemin.org/images/facebook.jpg	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/images/facebook.jpg	(from http://www.bridgemin.org/)
13:07:24	9973/9973	---M--	200	added ('OK')	text/css	etag:%229c4ccd3aaa6dd01:444%22	http://www.bridgemin.org/css/global.css	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/css/global.css	(from http://www.bridgemin.org/)
13:07:24	7094/7094	---M--	200	added ('OK')	text/html	etag:%22fca42399aa6dd01:444%22	http://www.bridgemin.org/spiritualcare/sec.html	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/spiritualcare/sec.html	(from http://www.bridgemin.org/spiritualcare/index.html)
13:07:25	6533/6533	---M--	200	added ('OK')	text/html	etag:%229c7cf81aa6dd01:444%22	http://www.bridgemin.org/spiritualcare/circle-of-friends.html	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/spiritualcare/circle-of-friends.html	(from http://www.bridgemin.org/spiritualcare/index.html)
13:07:25	6967/6967	---M--	200	added ('OK')	text/html	etag:%227ceff49faa6dd01:444%22	http://www.bridgemin.org/spiritualcare/small-groups.html	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/spiritualcare/small-groups.html	(from http://www.bridgemin.org/spiritualcare/index.html)
13:07:26	10504/10504	---M--	200	added ('OK')	text/html	etag:%22bcb27ea6aa6dd01:444%22	http://www.bridgemin.org/spiritualcare/testimonials.html	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/spiritualcare/testimonials.html	(from http://www.bridgemin.org/spiritualcare/index.html)
13:07:26	9076/9076	---M--	200	added ('OK')	text/html	etag:%22edfc84e1853d01:444%22	http://www.bridgemin.org/mobility/inventory.html	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/mobility/inventory.html	(from http://www.bridgemin.org/mobility/index.html)
13:07:27	69724/69724	---M--	200	added ('OK')	image/jpeg	etag:%22ffeaad6a9e1ca1:444%22	http://www.bridgemin.org/about/images/Dan_Tim.jpg	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/about/images/Dan_Tim.jpg	(from http://www.bridgemin.org/)
13:07:33	40104/40104	---M--	200	added ('OK')	image/jpeg	etag:%22dccd2be6a9e1ca1:444%22	http://www.bridgemin.org/mobility/images/2008mobility_center.jpg	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/mobility/images/2008mobility_center.jpg	(from http://www.bridgemin.org/mobility/index.html)
13:07:33	5747/5747	---M--	200	added ('OK')	text/html	etag:%22abcbec6121a1cf1:444%22	http://www.bridgemin.org/Guardianship/private_pay.html	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/Guardianship/private_pay.html	(from http://www.bridgemin.org/Guardianship/index.html)
13:07:35	6868/6868	---M--	200	added ('OK')	text/html	etag:%22ec4df6ec3e75cf1:444%22	http://www.bridgemin.org/Guardianship/terms.html	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/Guardianship/terms.html	(from http://www.bridgemin.org/Guardianship/index.html)
13:07:35	7761/7761	---M--	200	added ('OK')	text/html	etag:%22745bc0db3e75cf1:444%22	http://www.bridgemin.org/Guardianship/our_guardians.html	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/Guardianship/our_guardians.html	(from http://www.bridgemin.org/Guardianship/index.html)
13:07:36	5717/5717	---M--	200	added ('OK')	text/html	etag:%22332caeca3e75cf1:444%22	http://www.bridgemin.org/Guardianship/history.html	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/Guardianship/history.html	(from http://www.bridgemin.org/Guardianship/index.html)
13:07:40	72471/72471	---M--	200	added ('OK')	image/jpeg	etag:%225cd9dfc3ccc1:444%22	http://www.bridgemin.org/images/BobMeyer.jpg	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/images/BobMeyer.jpg	(from http://www.bridgemin.org/mobility/index.html)
13:07:40	7315/7315	---M--	200	added ('OK')	text/html	etag:%22e815fdce7979d01:444%22	http://www.bridgemin.org/events/index.html	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/events/index.html	(from http://www.bridgemin.org/)
13:07:43	95515/95515	---M--	200	added ('OK')	image/jpeg	etag:%224a6d97eba9e1ca1:444%22	http://www.bridgemin.org/mobility/images/2009MobilityToolsFrank.jpg	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/mobility/images/2009MobilityToolsFrank.jpg	(from http://www.bridgemin.org/mobility/index.html)
13:07:44	50788/50788	---M--	200	added ('OK')	image/jpeg	etag:%22928455e0a8e1ca1:444%22	http://www.bridgemin.org/Guardianship/images/Guardianship_Brochure.jpg	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/Guardianship/images/Guardianship_Brochure.jpg	(from http://www.bridgemin.org/Guardianship/index.html)
13:07:51	48952/48952	---M--	200	added ('OK')	image/jpeg	etag:%22ab14e16e369ecb1:444%22	http://www.bridgemin.org/about/images/newsletter_photo2010.jpg	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/about/images/newsletter_photo2010.jpg	(from http://www.bridgemin.org/about/newsletters.html)
13:07:55	93577/93577	---M--	200	added ('OK')	image/jpeg	etag:%22227e76d5a9e1ca1:444%22	http://www.bridgemin.org/about/images/bridgemin-local-map.jpg	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/about/images/bridgemin-local-map.jpg	(from http://www.bridgemin.org/about/directions.html)
13:09:05	498013/498013	---M--	200	added ('OK')	application/pdf	etag:%22889e56115976d01:444%22	http://www.bridgemin.org/pdfs/2015SpringNewsletter.pdf	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/pdfs/2015SpringNewsletter.pdf	(from http://www.bridgemin.org/about/newsletters.html)
13:09:33	633848/633848	---M--	200	added ('OK')	application/pdf	etag:%22e4d72036d91bd01:444%22	http://www.bridgemin.org/pdfs/2014WinterNewsletter.pdf	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/pdfs/2014WinterNewsletter.pdf	(from http://www.bridgemin.org/about/newsletters.html)
13:09:38	638626/638626	---M--	200	added ('OK')	application/pdf	etag:%22fb676995d2dccf1:444%22	http://www.bridgemin.org/pdfs/2014FallNewsletter.pdf	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/pdfs/2014FallNewsletter.pdf	(from http://www.bridgemin.org/about/newsletters.html)
13:09:38	824284/824284	---M--	200	added ('OK')	image/jpeg	etag:%2247879cf5eddd01:444%22	http://www.bridgemin.org/images/Denise_and_Jack.jpg	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/images/Denise_and_Jack.jpg	(from http://www.bridgemin.org/spiritualcare/index.html)
13:10:43	608310/608310	---M--	200	added ('OK')	application/pdf	etag:%22fba49b8ad2dccf1:444%22	http://www.bridgemin.org/pdfs/2014SummerNewsletter.pdf	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/pdfs/2014SummerNewsletter.pdf	(from http://www.bridgemin.org/about/newsletters.html)
13:11:10	597000/597000	---M--	200	added ('OK')	application/pdf	etag:%22b1349652afdce1:444%22	http://www.bridgemin.org/pdfs/2013WinterNewsletter.pdf	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/pdfs/2013WinterNewsletter.pdf	(from http://www.bridgemin.org/about/newsletters.html)
13:11:32	701507/701507	---M--	200	added ('OK')	application/pdf	etag:%220a8b0c27c56ce1:444%22	http://www.bridgemin.org/pdfs/2013SpringNewsletter.pdf	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/pdfs/2013SpringNewsletter.pdf	(from http://www.bridgemin.org/about/newsletters.html)
13:11:49	812110/812110	---M--	200	added ('OK')	application/pdf	etag:%22ddcaccef7e9fce1:444%22	http://www.bridgemin.org/pdfs/2013SummerNewsletter.pdf	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/pdfs/2013SummerNewsletter.pdf	(from http://www.bridgemin.org/about/newsletters.html)
13:13:14	935641/935641	---M--	200	added ('OK')	application/pdf	etag:%22167cfe9b9ef9cd1:444%22	http://www.bridgemin.org/pdfs/2012WinterNewsletter.pdf	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/pdfs/2012WinterNewsletter.pdf	(from http://www.bridgemin.org/about/newsletters.html)
13:13:26	838744/838744	---M--	200	added ('OK')	application/pdf	etag:%22201ad7689550cd1:444%22	http://www.bridgemin.org/pdfs/2012SummerNewsletter.pdf	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/pdfs/2012SummerNewsletter.pdf	(from http://www.bridgemin.org/about/newsletters.html)
13:13:28	610351/610351	---M--	200	added ('OK')	application/pdf	etag:%22106d7f9973b0cc1:444%22	http://www.bridgemin.org/pdfs/2011FallNewsletter.pdf	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/pdfs/2011FallNewsletter.pdf	(from http://www.bridgemin.org/about/newsletters.html)
13:14:17	320294/320294	---M--	200	added ('OK')	application/pdf	etag:%22c4366c217ecc1:444%22	http://www.bridgemin.org/pdfs/2011SpringNewsletter.pdf	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/pdfs/2011SpringNewsletter.pdf	(from http://www.bridgemin.org/about/newsletters.html)
